Date;Rows Exported;Comment
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;0.493716;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.477206;15;LOI
2025-05-09;0.477206;15;LOI
2025-05-09;0.477206;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.477206;15;LOI
2025-05-09;0.477206;15;LOI
2025-05-09;0.477206;15;LOI
2025-05-09;15;Initial export from Excel using target: yield_loi
2025-05-09;0.477206;15;LOI
2025-05-09;0.477206;15;LOI
2025-05-09;0.477206;15;LOI
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
2025-05-10;15;Initial export from Excel using target: yield_loi
