Timestamp;Model_Name;Input_Dim;Kernel_Type;Noise_Prior_Range;Mean_MSE_LOOCV;ARD;Number_trainingpoints;Prior_type;Lengthscale_Prior;Noise_value;Notes;Spalte1;Spalte2;Spalte3;;
09.05.25 12:31;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.003161;True;15;Gamma;(2.0, 0.15);0.0024012609753510466;Automated grid search;;0,003161;;;
09.05.25 12:31;GP_Matern_1.5;4;Matern;(0.003, 0.5);0.002856;False;15;;;0.0027366467396763407;Automated grid search;;0,002856;;;
09.05.25 12:31;GP_Matern_1.5;4;Matern;(0.003, 0.5);0.002856;False;15;Gamma;(2.0, 0.15);0.0027366467396763407;Automated grid search;;0,002856;;;
09.05.25 12:31;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.003564;False;15;;;0.0027381819110215166;Automated grid search;;0,003564;;;
09.05.25 12:31;GP_Matern_0.5;4;Matern;(0.003, 0.5);0.003564;False;15;Gamma;(2.0, 0.15);0.0027381819110215166;Automated grid search;;0,003564;;;
09.05.25 12:31;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.002771;False;15;;;0.0027710441472098227;Automated grid search;;0,002771;;;
09.05.25 12:31;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.002771;False;15;Gamma;(2.0, 0.15);0.0027710441472098227;Automated grid search;;0,002771;;;
09.05.25 12:31;GP_RBF;4;RBF;(0.003, 0.5);0.002716;False;15;;;0.003611933948204395;Automated grid search;;0,002716;;;
09.05.25 12:31;GP_RBF;4;RBF;(0.003, 0.5);0.002716;False;15;Gamma;(2.0, 0.15);0.003611933948204395;Automated grid search;;0,002716;;;
09.05.25 12:31;GP_RBF;4;RBF;(0.003, 0.5);0.002739;True;15;;;0.004646203600938517;Automated grid search;;0,002739;;;
09.05.25 12:31;GP_RBF;4;RBF;(0.003, 0.5);0.002739;True;15;Gamma;(2.0, 0.15);0.004646203600938517;Automated grid search;;0,002739;;;
09.05.25 11:38;GP_Matern_2.5;4;RBF;(0.0001, 0.2);0.002714;False;15;Gamma;(2.0, 0.5);0.012199496416430445;Test with new kernel config;;0,002714;;;
09.05.25 11:42;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.006055;True;20;;;0.0826461210804891;Automated grid search;;0,006055;;;
09.05.25 11:42;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.006055;True;20;Gamma;(2.0, 0.5);0.0826461210804891;Automated grid search;;0,006055;;;
09.05.25 12:26;Matern;4;Matern;(0.0001, 0.2);0.006055;True;20;;(2.0, 0.5);0.0826461210804891;Test with new kernel config;;0,006055;;;
09.05.25 12:27;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.006055;True;20;;;0.0826461210804891;Automated grid search;;0,006055;;;
09.05.25 12:27;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.006055;True;20;Gamma;(1.1, 0.05);0.0826461210804891;Automated grid search;;0,006055;;;
09.05.25 12:30;Matern;4;Matern;(0.0001, 0.2);0.006055;True;20;;(2.0, 0.5);0.0826461210804891;Test with new kernel config;;0,006055;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.006055;True;20;;;0.0826461210804891;Automated grid search;;0,006055;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.006055;True;20;Gamma;(2.0, 0.15);0.0826461210804891;Automated grid search;;0,006055;;;
09.05.25 11:42;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.006582;True;20;;;0.08417295841084065;Automated grid search;;0,006582;;;
09.05.25 11:42;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.006582;True;20;Gamma;(2.0, 0.5);0.08417295841084065;Automated grid search;;0,006582;;;
09.05.25 12:27;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.006582;True;20;;;0.08417295841084065;Automated grid search;;0,006582;;;
09.05.25 12:27;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.006582;True;20;Gamma;(1.1, 0.05);0.08417295841084065;Automated grid search;;0,006582;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.006582;True;20;;;0.08417295841084065;Automated grid search;;0,006582;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.006582;True;20;Gamma;(2.0, 0.15);0.08417295841084065;Automated grid search;;0,006582;;;
09.05.25 11:42;GP_RBF;4;RBF;(0.0001, 0.2);0.006351;True;20;;;0.08634005264546854;Automated grid search;;0,006351;;;
09.05.25 11:42;GP_RBF;4;RBF;(0.0001, 0.2);0.006351;True;20;Gamma;(2.0, 0.5);0.08634005264546854;Automated grid search;;0,006351;;;
09.05.25 12:27;GP_RBF;4;RBF;(0.0001, 0.2);0.006351;True;20;;;0.08634005264546854;Automated grid search;;0,006351;;;
09.05.25 12:27;GP_RBF;4;RBF;(0.0001, 0.2);0.006351;True;20;Gamma;(2.0, 0.5);0.08634005264546854;Automated grid search;;0,006351;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.0001, 0.2);0.006351;True;20;;;0.08634005264546854;Automated grid search;;0,006351;;;
09.05.25 12:30;GP_RBF;4;RBF;(0.0001, 0.2);0.006351;True;20;Gamma;(2.0, 0.15);0.08634005264546854;Automated grid search;;0,006351;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.003, 0.5);0.006815;True;20;;;0.08639751082882288;Automated grid search;;0,006815;;;
09.05.25 12:30;GP_Matern_1.5;4;Matern;(0.003, 0.5);0.006815;True;20;Gamma;(2.0, 0.15);0.08639751082882288;Automated grid search;;0,006815;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.003387;False;20;;;0.08819469183526663;Automated grid search;;0,003387;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.003387;False;20;Gamma;(2.0, 0.15);0.08819469183526663;Automated grid search;;0,003387;;;
09.05.25 11:42;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.003387;False;20;;;0.08819656398633682;Automated grid search;;0,003387;;;
09.05.25 11:42;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.003387;False;20;Gamma;(2.0, 0.5);0.08819656398633682;Automated grid search;;0,003387;;;
09.05.25 12:27;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.003387;False;20;;;0.08819656398633682;Automated grid search;;0,003387;;;
09.05.25 12:27;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.003387;False;20;Gamma;(1.1, 0.05);0.08819656398633682;Automated grid search;;0,003387;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.003387;False;20;;;0.08819656398633682;Automated grid search;;0,003387;;;
09.05.25 12:30;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.003387;False;20;Gamma;(2.0, 0.15);0.08819656398633682;Automated grid search;;0,003387;;;
